2.82443 1.10695e-06 -2.03729
2.17596 2.69656 -0.552337
2.64634 -1.42864 1.78306
-1.0824 2.94926 1.50732
0.0174598 -3.48651 -0.138502
0.930182 3.12549 -1.26567
-2.60166 -1.2437 -1.989
0.551492 1.29246 3.1847
-2.02162 1.35059 2.50393
2.3956 6.2849e-09 2.52903
2.84007 1.62484 1.22906
6.04618e-14 5.34605e-27 3.45413
3.35335 6.42197e-07 1.10394
2.58645 -2.08663 -1.13537
2.13218 -1.42943 -2.38349
-0.26302 3.4551 -0.458872
-1.43676 0.336268 -3.17957
0.819194 2.58851 2.20232
1.62941 -3.05262 -0.554326
-3.2858 0.833977 0.916303
2.67276 1.52632 -1.68894
0.746731 1.255 -3.1985
0.648227 -3.20893 1.28339
3.18937 -1.4754 0.155882
2.16984 -2.66167 0.793129
-2.51955 2.12443 1.1692
0.00690828 6.69202e-10 -3.53751
-0.101711 -1.68873 3.08436
-2.61658 1.7186 -1.60263
-2.45589 -2.46156 0.431514
-1.51432 -0.0849511 3.1351
-2.79419 -1.45328 1.52078
6.09363 -0.52417 3.68185
-1.69051 -1.5808 2.59247
0.486242 -3.07123 -1.63597
-2.97017 -1.68994 -0.703862
-3.43845 -0.657236 0.207717
-2.70703 0.235394 -2.19343
-0.159729 -1.43682 -3.20887
1.34203 -0.795868 3.14205
-1.54484 -1.13731 -2.95867
0.873745 -2.15783 -2.64155
-1.79329 3.03759 0.0673253
1.96409 1.40127 2.46937
-0.0269686 2.5013 -2.44813
-0.728675 -2.77625 1.9829
-3.37079 0.695014 -0.709953
1.33006 -2.2617 2.36721
-2.84182 -0.0318344 2.09416
-1.42125 1.7279 -2.70043
1.63432 3.3101e-05 -3.13699
1.65087 2.2041 -2.44631
-1.22789 -3.22976 0.609504
-2.38155 5.63341 3.68185
-1.39399 2.87848 -1.49146
0.259761 3.37079 0.913897
3.1971 1.46819 -0.231477
-0.729253 2.10351 2.69524
3.44961 1.36678e-05 -0.602455
1.81863 2.87115 0.920515
